Sentence,File
The death toll of covid19 in Mongolia is less than the recovered in North Macedonia in April.,total_deaths-total_recovered
Nigeria has less deaths cases of virus than in United Arab Emirates .,total_deaths
The number of deaths toll in Slovenia is less than the number of in Congo (Brazzaville) in March.,total_deaths-total_confirmed
Czechia has lower deaths cases than in Iran in February.,total_deaths
Mauritania has fewer total healed cases of covid19 than in Singapore in April.,total_recovered
 lower death toll of coronavirus in World in March than in April.,total_deaths
The number of death toll of covid-19 in Congo (Kinshasa) is less than the number of in Morocco in April.,total_deaths-total_confirmed
Bhutan has fewer new deaths cases of corona than Georgia .,new_deaths
The deceased cases of covid19 in South Korea is less than the confirmed in Canada .,total_deaths-total_confirmed
"In January,  lower new deceased of corona in Netherlands than in April.",new_deaths
"In March, there are less deceased cases of virus in Israel than in April.",total_deaths
Maldives has less new recovered cases of covid-19 than Turkey .,new_recovered
There are fewer deaths cases of corona in February than April.,total_deaths
The number of recovered cases of covid-19 in Malta is less than the number of confirmed in Malaysia in April.,total_recovered-total_confirmed
Sudan has fewer new deceased cases of covid19 than in Switzerland in March.,new_deaths
The number of deaths toll of corona virus in Taiwan* is less than the number of recovered in Senegal in March.,total_deaths-total_recovered
The deceased cases of corona virus in Norway is less than the in Thailand in February.,total_deaths-total_confirmed
 less deceased of corona virus in United Arab Emirates in January than in March.,total_deaths
The number of deaths of corona virus in Maldives is less than the number of healed in Colombia in March.,total_deaths-total_recovered
Nepal has lower deaths of corona than in Cameroon in April.,total_deaths
The number of deceased cases in Tanzania is less than the number of in Azerbaijan in March.,total_deaths-total_confirmed
The recovered cases of corona virus in Moldova is less than the confirmed in Finland in January.,total_recovered-total_confirmed
Togo has fewer total cases of covid19 than in Estonia in April.,total_confirmed
"In February, there are lower deaths of corona than in March.",total_deaths
Seychelles has lower new confirmed cases of covid19 than in Peru in March.,new_confirmed
Diamond Princess has fewer new healed cases of covid-19 than Dominican Republic in April.,new_recovered
There are fewer new recovered cases in Chile in March than in April.,new_recovered
The number of deaths cases of virus in Sweden is less than the number of recovered in Iceland in March.,total_deaths-total_recovered
The number of deceased of covid-19 in Germany is less than the number of in Saudi Arabia in March.,total_deaths-total_confirmed
Cyprus has fewer total cases than in Lebanon in February.,total_confirmed
Bhutan has lower new deceased cases of corona virus than Bosnia and Herzegovina in April.,new_deaths
Saint Lucia has less total deaths of corona virus than Iceland .,total_deaths
"In January, there are lower total deaths in World than in April.",total_deaths
Guyana has lower new healed cases of coronavirus than in South Korea .,new_recovered
The deaths toll of virus in Mauritania is less than the confirmed in Croatia in February.,total_deaths-total_confirmed
Costa Rica has lower total deaths toll of virus than in Croatia .,total_deaths
Philippines has fewer new confirmed people than in Canada in March.,new_confirmed
Honduras has fewer total death toll of corona than in Bangladesh .,total_deaths
Portugal has fewer deceased toll of coronavirus than in South Korea in March.,total_deaths
There are fewer deaths in World in January than in February.,total_deaths
The death toll of coronavirus in Mauritania is less than the confirmed in Ethiopia .,total_deaths-total_confirmed
"In January,  lower death toll than in February.",total_deaths
"In February, there are fewer total deaths cases of covid-19 in World than April.",total_deaths
Monaco has lower total recovered cases than Cote d'Ivoire .,total_recovered
Belarus has fewer total people than Cuba in March.,total_confirmed
Sri Lanka has lower total deceased cases of covid19 than in Denmark in March.,total_deaths
